S_number,Brand,Model,Variant,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,paint_color,condition,Brand_id,Model_id,Fuel_Type_id,Transmission_id,Owner_Type_id,paint_color_id
29,Toyota,Innova,2.5 V Diesel 7-seater    ,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,13,2494,102,7,,400000,red,excellent,28,98,1,1,1,8
30,Renault,Duster,110PS Diesel RxZ Pack    ,Bangalore,2013,62000,Diesel,Manual,First,19,1461,108,5,,775000,red,,24,57,1,1,0,8
31,Toyota,Corolla,Altis G      ,Delhi,2012,87615,Petrol,Manual,First,15,1798,138,5,,675000,blue,good,28,51,4,1,0,1
32,Mahindra,Ssangyong,Rexton RX7      ,Bangalore,2013,72000,Diesel,Automatic,Second,11,2696,184,7,,1250000,black,,17,165,1,0,2,0
33,Audi,A6,2.7 TDI      ,Kolkata,2010,35000,Diesel,Automatic,First,12,2698,180,5,,1150000,white,,1,11,1,0,0,10
34,Volkswagen,Vento,1.6 Highline      ,Coimbatore,2014,55431,Petrol,Manual,Second,16,1598,104,5,12.33 Lakh,698000,,fair,29,181,4,1,2,-1
35,Maruti,Wagon R,LXI BSIII     ,Jaipur,2009,83816,Petrol,Manual,Second,14,1061,64,5,,185000,silver,excellent,18,189,4,1,2,9
36,Maruti,Vitara,Brezza ZDi Plus     ,Kochi,2018,50075,Diesel,Manual,First,24,1248,89,5,11.12 Lakh,863000,purple,excellent,18,186,1,1,0,7
37,Mahindra,KUV,100 mFALCON G80 K6 5str AW  ,Delhi,2017,52000,Petrol,Manual,First,18,1198,82,5,,484999,,,17,102,4,1,0,-1
38,Mercedes-Benz,M-Class,ML 350 CDI     ,Pune,2013,85000,Diesel,Automatic,First,12,2987,255,5,,2800000,white,,19,110,1,0,0,10
39,Volkswagen,Polo,Diesel Trendline 1.2L     ,Chennai,2013,62000,Diesel,Manual,First,22,1199,74,5,,500000,blue,,29,131,1,1,0,1
40,Maruti,Alto,LXi       ,Delhi,2008,90000,Petrol,Manual,Second,20,796,46,5,,125000,red,good,18,15,4,1,2,8
41,Tata,Nano,LX SE      ,Kochi,2014,19698,Petrol,Manual,First,25,624,38,4,,153000,,,27,117,4,1,0,-1
42,Mahindra,KUV,100 mFALCON D75 K8 Dual Tone  ,Coimbatore,2017,22033,Diesel,Manual,First,25,1198,77,6,,558000,silver,like new,17,102,1,1,0,9
43,Hyundai,i20,Magna Optional 1.2     ,Kochi,2014,35487,Petrol,Manual,First,19,1197,83,5,,474000,black,excellent,10,210,4,1,0,0
44,Hyundai,Elantra,2 SX Option AT    ,Bangalore,2014,46374,Petrol,Automatic,First,15,1999,150,5,23.64 Lakh,885000,custom,new,10,65,4,0,0,3
45,Toyota,Corolla,Altis G AT     ,Mumbai,2016,52001,Petrol,Automatic,First,14,1798,138,5,,1011000,green,excellent,28,51,4,0,0,4
46,Hyundai,Elantra,CRDi       ,Ahmedabad,2008,58005,Diesel,Manual,Second,15,1991,112,5,,425000,black,,10,65,1,1,2,0
47,Toyota,Innova,Crysta 2.7 GX MT    ,Bangalore,2012,70704,Petrol,Manual,First,11,2694,164,7,18.64 Lakh,1095000,black,excellent,28,98,4,1,0,0
48,Hyundai,Xcent,1.1 CRDi S     ,Jaipur,2014,75000,Diesel,Manual,First,24,1120,71,5,,385000,white,excellent,10,202,1,1,0,10
49,Mahindra,Thar,CRDe AC      ,Jaipur,2012,75800,Diesel,Manual,Second,17,2498,105,6,,550000,silver,,17,175,1,1,2,9
50,Audi,A4,2 TDI 177  Premium Plus  ,Kochi,2015,13648,Diesel,Automatic,First,17,1968,174,5,,2143000,,excellent,1,10,1,0,0,-1
51,Maruti,Swift,LDI       ,Delhi,2014,52000,Diesel,Manual,First,23,1248,74,5,,425000,white,excellent,18,169,1,1,0,10
52,Maruti,Swift,Ldi BSIV      ,Kolkata,2014,53000,Diesel,Manual,First,18,1248,75,5,,330000,,,18,169,1,1,0,-1
53,Maruti,Swift,VDI       ,Delhi,2013,65650,Diesel,Manual,First,28,1248,74,5,,385000,,excellent,18,169,1,1,0,-1
54,Hyundai,Grand,i10 Sportz      ,Chennai,2015,54000,Petrol,Manual,Third,19,1197,82,5,,360000,blue,excellent,10,91,4,1,3,1
55,Volkswagen,Vento,2013-2015 1.6 Comfortline     ,Kolkata,2015,39000,Petrol,Manual,First,15,1598,103,5,,399000,,excellent,29,181,4,1,0,-1
56,Renault,KWID,RXT       ,Kochi,2017,16542,Petrol,Manual,First,25,799,53,5,,330000,grey,excellent,24,103,4,1,0,5
57,Hyundai,i10,Asta       ,Kolkata,2010,32000,Petrol,Manual,First,20,1197,79,5,,206999,,,10,209,4,1,0,-1
58,Nissan,X-Trail,SLX AT      ,Hyderabad,2010,121812,Diesel,Automatic,First,13,1995,148,5,,775000,,fair,22,190,1,0,0,-1
59,Maruti,Zen,Estilo VXI BSIII     ,Hyderabad,2010,39300,Petrol,Manual,First,18,998,67,5,,225000,silver,excellent,18,207,4,1,0,9
60,Toyota,Innova,Crysta 2.4 GX MT 8S   ,Mumbai,2017,22000,Diesel,Manual,First,14,2393,148,8,19.34 Lakh,1650000,silver,excellent,28,98,1,1,0,9
61,Ford,Figo,Diesel Titanium      ,Bangalore,2010,72000,Diesel,Manual,First,20,1399,68,5,,275000,,,8,77,1,1,0,-1
62,Mercedes-Benz,New,C-Class C 200 CGI Avantgarde   ,Delhi,2015,58000,Petrol,Automatic,First,12,1796,186,5,,2670000,custom,good,19,118,4,0,0,3
63,Mercedes-Benz,New,C-Class 200 CDI Classic    ,Pune,2011,65000,Diesel,Manual,Second,16,2148,170,5,,1000000,white,good,19,118,1,1,2,10
64,Tata,Indica,V2 eLS      ,Chennai,2016,178000,Diesel,Manual,First,25,1396,69,5,,250000,white,good,27,96,1,1,0,10
65,Audi,A4,2 TDI Multitronic     ,Jaipur,2012,65664,Diesel,Automatic,First,17,1968,140,5,,1350000,silver,good,1,10,1,0,0,9
66,Honda,City,ZX CVT      ,Mumbai,2007,63000,Petrol,Automatic,Second,16,1497,78,5,,185000,silver,good,9,44,4,0,2,9
67,Mercedes-Benz,C-Class,Progressive C 220d     ,Coimbatore,2019,15369,Diesel,Automatic,First,8,1950,194,5,49.14 Lakh,3567000,white,good,19,32,1,0,0,10
68,Maruti,Ertiga,SHVS VDI      ,Pune,2016,63000,Diesel,Manual,First,25,1248,89,7,,815000,silver,,18,69,1,1,0,9
69,Hyundai,Creta,1.4 E Plus Diesel    ,Mumbai,2018,13000,Diesel,Manual,First,22,1396,89,5,11.81 Lakh,1050000,,,10,53,1,1,0,-1
70,Porsche,Cayenne,2009-2014 Turbo      ,Mumbai,2008,73000,Petrol,Automatic,First,9,4806,500,5,,1450000,,,23,39,4,0,0,-1
71,Mahindra,XUV500,W8 4WD      ,Mumbai,2015,55729,Diesel,Manual,First,15,2179,140,7,,965000,silver,,17,201,1,1,0,9
72,Hyundai,i10,Sportz 1.2 AT     ,Kochi,2012,45178,Petrol,Automatic,First,17,1197,79,5,,348000,,,10,209,4,0,0,-1
73,Nissan,Terrano,XV D Pre     ,Kochi,2015,56066,Diesel,Manual,First,20,1461,109,5,16.65 Lakh,692000,brown,,22,174,1,1,0,2
74,Honda,Brio,VX AT      ,Coimbatore,2016,37300,Petrol,Automatic,Second,17,1198,87,5,,646000,,,9,31,4,0,2,-1
75,Audi,A6,2 TDI Design Edition    ,Delhi,2014,56000,Diesel,Automatic,Second,19,1968,188,5,,2950000,grey,,1,11,1,0,2,5
76,Ford,Fiesta,1.4 SXi TDCi     ,Jaipur,2008,111111,Diesel,Manual,First,18,1399,null ,5,,200000,silver,,8,76,1,1,0,9
77,Toyota,Innova,2 G1      ,Chennai,2006,230000,Petrol,Manual,Third,12,1998,132,8,,450000,,,28,98,4,1,3,-1
78,Toyota,Innova,2.5 VX 7 STR BSIV   ,Hyderabad,2012,104000,Diesel,Manual,First,13,2494,102,7,,1175000,,excellent,28,98,1,1,0,-1
79,Hyundai,Santro,Xing XL      ,Hyderabad,2005,87591,Petrol,Manual,First,0,1086,null ,5,,130000,blue,fair,10,159,4,1,0,1
80,Maruti,Swift,VDI       ,Jaipur,2012,95100,Diesel,Manual,First,23,1248,74,5,,375000,white,,18,169,1,1,0,10
81,Tata,Zest,Revotron 1.2T XE     ,Pune,2017,70000,Petrol,Manual,First,18,1193,89,5,6.67 Lakh,450000,blue,,27,208,4,1,0,1
82,Honda,Amaze,SX i-VTEC      ,Kochi,2016,54944,Petrol,Manual,First,18,1198,87,5,,482000,brown,,9,16,4,1,0,2
83,Ford,Figo,Diesel ZXI      ,Hyderabad,2012,70337,Diesel,Manual,First,20,1399,68,5,,280000,white,like new,8,77,1,1,0,10
84,Maruti,Ritz,VDi       ,Jaipur,2013,99638,Diesel,Manual,First,23,1248,74,5,,311000,,excellent,18,145,1,1,0,-1
85,Honda,City,i VTEC E     ,Delhi,2009,52000,Petrol,Manual,First,18,1497,117,5,,325000,,,9,44,4,1,0,-1
86,BMW,5,Series 2003-2012 525d     ,Delhi,2011,75000,Diesel,Automatic,Second,17,1995,218,5,,1390000,,,2,3,1,0,2,-1
87,Hyundai,i10,Sportz 1.2      ,Pune,2009,95980,Petrol,Manual,First,20,1197,79,5,,225000,black,,10,209,4,1,0,0
88,Hyundai,Grand,i10 Sportz      ,Bangalore,2016,16000,Petrol,Manual,First,19,1197,82,5,,575000,red,like new,10,91,4,1,0,8
89,Hyundai,Santro,Xing XO      ,Hyderabad,2007,73745,Petrol,Manual,First,17,1086,null ,5,,210000,,,10,159,4,1,0,-1
90,Honda,Amaze,SX i-VTEC      ,Mumbai,2016,18949,Petrol,Manual,First,18,1198,87,5,,500000,green,excellent,9,16,4,1,0,4
91,Toyota,Fortuner,4x2 Manual      ,Delhi,2014,107000,Diesel,Manual,First,13,2982,169,7,,1650000,white,good,28,79,1,1,0,10
92,Audi,A6,2011-2015 35 TDI Premium    ,Coimbatore,2018,48367,Diesel,Automatic,First,18,1968,174,5,,3958000,,,1,11,1,0,0,-1
93,Ford,Ecosport,1.5 DV5 MT Titanium Optional   ,Delhi,2013,57000,Diesel,Manual,First,23,1498,90,5,,550000,white,good,8,63,1,1,0,10
94,Mahindra,XUV500,W8 2WD      ,Delhi,2014,58000,Diesel,Manual,First,15,2179,140,7,,810000,,,17,201,1,1,0,-1
95,Honda,Amaze,SX i-DTEC      ,Kolkata,2015,30000,Diesel,Manual,First,26,1498,99,5,,350000,blue,fair,9,16,1,1,0,1
96,Volkswagen,Polo,Diesel Highline 1.2L     ,Kolkata,2013,34212,Diesel,Manual,First,22,1199,74,5,,279000,black,,29,131,1,1,0,0
97,Hyundai,Verna,Transform SX VGT CRDi    ,Ahmedabad,2010,70002,Diesel,Manual,First,16,1493,110,5,,345000,white,,10,184,1,1,0,10
98,Maruti,Wagon R,R VXI BS IV    ,Bangalore,2016,62000,Petrol,Manual,First,19,998,67,5,,445000,red,fair,18,189,4,1,0,8
99,Volkswagen,Polo,Petrol Highline 1.6L     ,Delhi,2010,62001,Petrol,Manual,First,15,1598,104,5,,265000,,,29,131,4,1,0,-1
100,Hyundai,i20,1.4 CRDi Sportz     ,Pune,2011,78958,Diesel,Manual,Second,23,1396,90,5,,380000,black,excellent,10,210,1,1,2,0
101,Hyundai,i20,Asta 1.2      ,Mumbai,2014,30180,Petrol,Manual,First,19,1197,83,5,,465000,red,excellent,10,210,4,1,0,8
102,Datsun,GO,Plus T Petrol     ,Pune,2017,32851,Petrol,Manual,First,20,1198,67,7,6.45 Lakh,395000,black,excellent,5,88,4,1,0,0
103,Audi,A4,3 TDI Quattro Premium    ,Kolkata,2010,30000,Diesel,Automatic,First,15,2967,241,5,,980000,white,excellent,1,10,1,0,0,10
104,Hyundai,i20,2015-2017 Asta      ,Pune,2009,66000,Petrol,Manual,Second,17,1197,80,5,,270000,black,excellent,10,210,4,1,2,0
105,Maruti,Omni,5 Str STD     ,Coimbatore,2010,93850,Petrol,Manual,First,14,796,35,5,,241000,silver,excellent,18,122,4,1,0,9
106,Toyota,Etios,Liva 1.2 G     ,Ahmedabad,2014,53000,Petrol,Manual,First,18,1197,79,5,6.41 Lakh,390000,white,excellent,28,72,4,1,0,10
107,Jaguar,XF,3 Litre S Premium Luxury   ,Hyderabad,2011,78000,Diesel,Automatic,Second,15,2993,271,5,,2400000,blue,excellent,13,198,1,0,2,1
108,Mahindra,XUV500,W8 2WD      ,Delhi,2012,65000,Diesel,Manual,Second,16,2179,140,7,,575000,orange,good,17,201,1,1,2,6
109,Hyundai,Verna,1.6 SX CRDI (O) AT   ,Kolkata,2014,40000,Diesel,Automatic,First,22,1582,126,5,,525000,silver,excellent,10,184,1,0,0,9
110,Toyota,Innova,Crysta 2.8 ZX AT    ,Mumbai,2017,30000,Diesel,Automatic,First,11,2755,172,7,27 Lakh,1925000,black,excellent,28,98,1,0,0,0
111,Maruti,Eeco,5 Seater AC     ,Coimbatore,2017,38053,Petrol,Manual,First,15,1196,73,5,5.13 Lakh,391000,black,excellent,18,64,4,1,0,0
112,Tata,Nano,Twist XT      ,Bangalore,2014,25500,Petrol,Manual,First,25,624,38,4,,215000,blue,excellent,27,117,4,1,0,1
113,BMW,3,Series 320d Luxury Line    ,Mumbai,2015,56087,Diesel,Automatic,First,23,1995,190,5,54.43 Lakh,2075000,grey,excellent,2,2,1,0,0,5
114,Honda,Civic,2006-2010 1.8 V MT    ,Delhi,2010,71088,Petrol,Manual,First,14,1799,130,5,,335000,black,excellent,9,45,4,1,0,0
115,Toyota,Innova,2.5 VX (Diesel) 7 Seater   ,Ahmedabad,2014,55000,Diesel,Manual,First,13,2494,101,7,,1111000,black,excellent,28,98,1,1,0,0
116,Volvo,V40,Cross Country D3     ,Bangalore,2014,32700,Diesel,Automatic,First,23,1984,150,5,,2000000,silver,excellent,30,180,1,0,0,9
117,Nissan,Micra,XV CVT      ,Coimbatore,2016,39882,Petrol,Automatic,First,19,1198,76,5,9.51 Lakh,655000,black,excellent,22,113,4,0,0,0
118,BMW,5,Series 2010-2013 525i     ,Mumbai,2009,128000,Petrol,Automatic,First,11,2497,215,5,,700000,red,excellent,2,3,4,0,0,8
119,Maruti,Vitara,Brezza VDi      ,Mumbai,2016,55000,Diesel,Manual,First,24,1248,89,5,9.96 Lakh,750000,red,excellent,18,186,1,1,0,8
120,Hyundai,Santro,Xing XL eRLX Euro III   ,Mumbai,2005,102000,Petrol,Manual,Second,17,1086,null ,5,,85000,red,excellent,10,159,4,1,2,8
121,Mercedes-Benz,B,Class B200 CDI     ,Pune,2014,53753,Diesel,Automatic,Second,15,2143,107,5,,1675000,white,excellent,19,22,1,0,2,10
122,Hyundai,Verna,CRDi 1.6 SX Option    ,Kolkata,2018,10250,Diesel,Manual,First,22,1582,126,5,14.44 Lakh,1095000,red,excellent,10,184,1,1,0,8
123,Maruti,Wagon R,LXI BS IV    ,Pune,2011,43874,Petrol,Manual,First,19,998,67,5,,245000,,,18,189,4,1,0,-1
124,Tata,Nano,XTA       ,Coimbatore,2017,32684,Petrol,Automatic,First,22,624,37,4,,323000,silver,,27,117,4,0,0,9
125,Mahindra,Scorpio,VLX       ,Kolkata,2014,42000,Diesel,Manual,First,12,2179,120,8,,775000,black,excellent,17,161,1,1,0,0
126,Mercedes-Benz,New,C-Class 200 K AT    ,Kolkata,2009,28352,Petrol,Automatic,First,12,1796,178,5,,935000,white,excellent,19,118,4,0,0,10
127,Maruti,Wagon R,LXI CNG     ,Pune,2013,89900,CNG,Manual,First,22,998,58,5,,325000,,,18,189,0,1,0,-1
128,Honda,CR-V,2.4 MT      ,Bangalore,2007,47700,Petrol,Manual,Second,11,2354,152,5,,525000,,,9,35,4,1,2,-1
129,Volkswagen,Vento,1.5 TDI Comfortline AT    ,Pune,2015,55000,Diesel,Automatic,First,21,1498,103,5,,725000,red,excellent,29,181,1,0,0,8
130,Maruti,Ciaz,VXi Plus      ,Kochi,2017,44285,Petrol,Manual,First,21,1373,91,5,,747000,red,excellent,18,43,4,1,0,8
131,Mahindra,XUV500,AT W10 FWD     ,Jaipur,2016,54000,Diesel,Automatic,First,16,2179,140,7,,1325000,silver,excellent,17,201,1,0,0,9
132,Maruti,Ritz,VXI ABS      ,Coimbatore,2016,30232,Petrol,Manual,First,21,1197,86,5,,581000,black,,18,145,4,1,0,0
133,Maruti,Alto,K10 VXI      ,Hyderabad,2014,88500,Petrol,Manual,First,24,998,67,5,4.53 Lakh,260000,,,18,15,4,1,0,-1
134,Mercedes-Benz,SLC,43 AMG      ,Kolkata,2017,13372,Petrol,Automatic,First,19,2996,362,2,95.04 Lakh,5400000,,,19,153,4,0,0,-1
135,Hyundai,Verna,VTVT 1.6 AT SX Plus   ,Kochi,2019,12645,Petrol,Automatic,First,17,1591,121,5,13.49 Lakh,1150000,white,good,10,184,4,0,0,10
136,Maruti,Alto,LXi BSIII      ,Chennai,2010,94385,Petrol,Manual,Second,20,796,46,5,,160000,,,18,15,4,1,2,-1
137,BMW,1,Series 118d Base     ,Coimbatore,2015,31821,Diesel,Automatic,First,21,1995,143,5,,1722000,,like new,2,0,1,0,0,-1
138,Honda,Jazz,1.2 V CVT i VTEC   ,Mumbai,2015,12000,Petrol,Automatic,First,19,1199,89,5,,600000,,,9,99,4,0,0,-1
139,Honda,Civic,2006-2010 1.8 V MT    ,Delhi,2012,88578,Petrol,Manual,First,14,1799,130,5,,395000,,excellent,9,45,4,1,0,-1
140,Mercedes-Benz,New,C-Class C 220 CDI Avantgarde   ,Kochi,2014,44965,Diesel,Automatic,First,19,2143,170,5,,1795000,,excellent,19,118,1,0,0,-1
141,Honda,Amaze,SX i-DTEC      ,Kolkata,2014,45044,Diesel,Manual,First,26,1498,99,5,,370000,,,9,16,1,1,0,-1
142,Maruti,Swift,VVT VXI      ,Kochi,2016,34204,Petrol,Manual,First,22,1197,82,5,,543000,red,,18,169,4,1,0,8
143,Hyundai,Santro,Xing XO eRLX Euro II   ,Kochi,2008,80759,Petrol,Manual,Third,17,1086,null ,5,,167000,white,excellent,10,159,4,1,3,10
144,Toyota,Fortuner,3 Diesel      ,Coimbatore,2012,91235,Diesel,Manual,First,12,2982,171,7,,1349000,,good,28,79,1,1,0,-1
145,Chevrolet,Beat,LT Option      ,Pune,2014,38800,Petrol,Manual,First,19,1199,77,5,,285000,,,4,26,4,1,0,-1
146,Skoda,Rapid,1.5 TDI Elegance     ,Chennai,2013,83000,Diesel,Manual,First,21,1498,104,5,,475000,grey,,25,142,1,1,0,5
147,Maruti,Ciaz,1.4 Alpha      ,Kochi,2018,41283,Petrol,Manual,First,21,1373,91,5,,990000,white,like new,18,43,4,1,0,10
148,Audi,RS5,Coupe       ,Mumbai,2013,23000,Petrol,Automatic,First,11,2894,444,4,1.28 Cr,3700000,blue,good,1,141,4,0,0,1
149,BMW,3,Series Luxury Line     ,Mumbai,2014,48000,Diesel,Automatic,First,22,1995,190,5,60.88 Lakh,2650000,white,,2,2,1,0,0,10
150,Audi,A4,2 TDI 177  Premium Plus  ,Coimbatore,2015,48214,Diesel,Automatic,First,17,1968,174,5,,2332000,black,,1,10,1,0,0,0
151,Maruti,Swift,VDI       ,Chennai,2016,35000,Diesel,Manual,First,23,1248,74,5,,625000,black,good,18,169,1,1,0,0
152,Mercedes-Benz,S,Class 2005 2013 S 500   ,Kolkata,2010,35277,Petrol,Automatic,First,8,5461,363,5,,3000000,silver,,19,147,4,0,0,9
153,Skoda,Rapid,1.5 TDI AT Elegance Plus Black Package ,Coimbatore,2016,54620,Diesel,Automatic,First,22,1498,104,5,,986000,brown,good,25,142,1,0,0,2
154,Skoda,Superb,Elegance 2 TDI CR AT   ,Pune,2012,136997,Diesel,Automatic,First,17,1968,138,5,,850000,black,,25,168,1,0,0,0
155,Hyundai,EON,Magna Plus      ,Kochi,2019,14322,Petrol,Manual,First,21,814,55,5,,423000,silver,good,10,61,4,1,0,9
156,Volkswagen,Polo,Diesel Trendline 1.2L     ,Jaipur,2012,65634,Diesel,Manual,First,22,1199,74,5,,350000,red,like new,29,131,1,1,0,8
157,Datsun,GO,NXT       ,Kolkata,2016,6000,Petrol,Manual,First,21,1198,67,5,,250000,blue,excellent,5,88,4,1,0,1
158,Honda,Brio,S MT      ,Kolkata,2013,33280,Petrol,Manual,First,19,1198,87,5,,239000,black,good,9,31,4,1,0,0
159,Mercedes-Benz,B,Class B180      ,Delhi,2013,29000,Petrol,Automatic,First,15,1595,121,5,,1125000,,excellent,19,22,4,0,0,-1
160,Honda,City,i DTEC V     ,Kochi,2015,42831,Diesel,Manual,First,26,1498,99,5,,711000,white,fair,9,44,1,1,0,10
161,Toyota,Innova,2.5 G (Diesel) 7 Seater   ,Ahmedabad,2016,90000,Diesel,Manual,First,13,2494,101,7,,1090000,,,28,98,1,1,0,-1
162,Maruti,Swift,VXI Optional      ,Ahmedabad,2017,24005,Petrol,Manual,First,20,1197,82,5,,620000,blue,good,18,169,4,1,0,1
163,Mahindra,XUV500,W8 2WD      ,Mumbai,2012,32792,Diesel,Manual,First,15,2179,140,7,,790000,,,17,201,1,1,0,-1
164,Ford,Ecosport,1.5 DV5 MT Ambiente    ,Kochi,2014,147898,Diesel,Manual,First,23,1498,90,5,,442000,silver,,8,63,1,1,0,9
165,Toyota,Fortuner,4x2 Manual      ,Mumbai,2012,131765,Diesel,Manual,First,13,2982,169,7,,1350000,white,,28,79,1,1,0,10
166,Volkswagen,Vento,1.5 Highline Plus AT 16 Alloy  ,Chennai,2013,65000,Diesel,Automatic,First,22,1498,109,5,,625000,grey,excellent,29,181,1,0,0,5
167,Ford,Figo,Diesel Titanium      ,Jaipur,2010,66123,Diesel,Manual,Second,20,1399,68,5,,210000,,,8,77,1,1,2,-1
168,BMW,X5,xDrive 30d      ,Mumbai,2015,41000,Diesel,Automatic,First,15,2993,258,5,,4500000,,good,2,193,1,0,0,-1
169,Mercedes-Benz,New,C-Class C 220 CDI Style   ,Coimbatore,2017,23550,Diesel,Automatic,First,19,2143,168,5,,3365999,white,,19,118,1,0,0,10
170,Honda,Brio,V MT      ,Bangalore,2012,45000,Petrol,Manual,Second,19,1198,87,5,,365000,white,excellent,9,31,4,1,2,10
171,Hyundai,i10,Magna 1.2      ,Delhi,2013,60000,Petrol,Manual,First,20,1197,79,5,,275000,white,,10,209,4,1,0,10
172,Mercedes-Benz,GLC,220,Bangalore,2016,44414,Diesel,Automatic,First,18,2143,170,5,,4250000,silver,,19,85,1,0,0,9
173,Hyundai,Grand,i10 1.2 Kappa Asta    ,Kolkata,2019,1000,Petrol,Manual,First,19,1197,82,5,7.39 Lakh,650000,silver,,10,91,4,1,0,9
174,Audi,A6,2011-2015 2 TDI Premium Plus   ,Mumbai,2012,62500,Diesel,Automatic,Second,18,1968,174,5,,1900000,red,good,1,11,1,0,2,8
175,Volkswagen,Vento,Petrol Highline AT     ,Mumbai,2013,21000,Petrol,Automatic,Second,14,1598,104,5,,445000,black,,29,181,4,0,2,0
